M2Y (#/ug),M3Y (#/ug),init RC (ug-TOC/cell)
1531788.889,0,6.86E-05
911516.6667,0,0.000110112
1122271.429,0,4.21E-05
5171525,0,0.000158353
2969800,0,4.37E-05
2622366.667,0,0.000223214
3733475,0,6.93E-06
2014966.667,0,1.11E-05
0,0,1.30E-05
0,0,1.02E-06
0,0,6.40E-07
0,0,2.47E-06
0,0,2.82E-07
0,0,2.49E-07
0,0,3.37E-07
0,2302900,4.61E-06
0,1900875,6.45E-06
0,0,7.45E-06
0,1536300,6.32E-06
0,1110400,1.88E-06
0,1586775,7.47E-06
0,0,1.55E-06
0,0,1.37E-06
0,0,1.24E-06
0,0,2.25E-07
0,0,6.06E-07
0,0,2.99E-07
0,0,5.22E-08
0,0,9.47E-08
0,0,6.29E-08
